Model,Validation MSE,Validation R²,Test MSE,Test R²
Ridge Regression,0.0840723717356192,-0.0037902335564634626,0.08651563120497352,-0.0066908332573436535
Lasso Regression,0.08376999133851729,-0.00017993348803768683,0.08603665574191083,-0.001117502735394016
Decision Tree,0.0978916328767006,-0.16878664179394876,0.0926251460347792,-0.07778079109679603
Random Forest,0.08515508427823179,-0.016717384933152335,0.08738400604827085,-0.016795192231591427
SVM,0.08442093319034547,-0.007951916839869844,0.08678707139970224,-0.009849295514454015
